name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Perth,10/2/2022,21,12.6,16.3,21,12.6,16.3,8,58.5,0,0,0,,0,0,47.9,19.2,123.6,1018,43.7,14.5,245.3,21.3,10,10,2022-10-02T05:53:31,2022-10-02T18:19:08,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/3/2022,20.2,11.2,15.2,20.2,11.2,15.2,7,59,0,0,0,,0,0,45,17.8,122.4,1017.4,40.3,14.3,195.8,16.9,9,10,2022-10-03T05:52:13,2022-10-03T18:19:47,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,95610099999,94612099999,94602099999,94614099999,94608099999,95607099999"
Perth,10/4/2022,25,10.5,17.1,25,10.5,17.1,8.4,59.7,0,0,0,,0,0,43.9,18.3,32,1012.5,6.1,14.8,276.3,23.7,10,10,2022-10-04T05:50:56,2022-10-04T18:20:27,0.3,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/5/2022,18.2,13.1,16,18.2,13.1,16,9.7,67.2,3.382,100,8.33,rain,0,0,43.2,25.1,219,1012.9,59.1,13,272.3,23.5,9,10,2022-10-05T05:49:40,2022-10-05T18:21:06,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/6/2022,17.9,8.2,13.8,17.9,8.2,13.8,6.8,64.8,0.698,100,8.33,rain,0,0,32.4,19.3,206.6,1021.4,47.9,13.8,183.9,15.9,10,10,2022-10-06T05:48:23,2022-10-06T18:21:47,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/7/2022,19.4,8.6,14.3,19.4,8.6,14.3,7,64.5,0.031,100,4.17,rain,0,0,22.7,16.4,186.9,1023.4,35,14.4,272.3,23.6,10,10,2022-10-07T05:47:07,2022-10-07T18:22:27,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/8/2022,22.8,6.5,15.1,22.8,6.5,15.1,6.9,62.3,0,0,0,,0,0,25.2,19.9,202,1020.5,2.1,14.8,296.4,25.7,10,10,2022-10-08T05:45:52,2022-10-08T18:23:08,0.44,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/9/2022,20.8,8.1,15.2,20.8,7.6,15.1,9.9,72.4,0,0,0,rain,0,0,26.3,16.5,217.6,1017.1,75.3,14.6,168.6,14.5,6,10,2022-10-09T05:44:37,2022-10-09T18:23:49,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/10/2022,17.4,10.5,15.1,17.4,10.5,15.1,8.3,64.8,0.987,100,8.33,rain,0,0,41,30.3,222,1017,69.9,13,156.9,13.5,6,10,2022-10-10T05:43:23,2022-10-10T18:24:30,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/11/2022,18.5,6,12.8,18.5,6,12.8,5.6,64.7,0.072,100,8.33,rain,0,0,37.1,23.9,198.7,1019,35.9,14.2,242.3,20.9,10,10,2022-10-11T05:42:09,2022-10-11T18:25:12,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"F4023,94610099999,94609099999,YPPH,94605099999,YPJT,95610099999,94602099999,94614099999,94608099999"
Perth,10/12/2022,18.1,6.2,13.3,18.1,6.2,13.1,5.7,62.2,0.002,100,4.17,rain,0,0,40,23.4,193.8,1022.4,12.1,14.9,285.9,24.8,10,10,2022-10-12T05:40:56,2022-10-12T18:25:55,0.57,Rain,Clear conditions throughout the day with morning rain.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
